scenario,tsa_num,sawnwood,panels,otherirw,pulppaper,bioenergycommodities,bioenergyharvest,bioenergyharvestresidue,bioenergymillresidue
CBM_A_HWP_LLP,26.0,2.538131,2.538131,2.538131,4.85027,2.538131,2.538131,2.538131,2.538131
CBM_A_HWP_LLP,27.0,0.6795453,0.6795453,0.6795453,1.298585,0.6795453,0.6795453,0.6795453,0.6795453
CBM_A_HWP_LLP,29.0,2.503213,2.503213,2.503213,4.783545,2.503213,2.503213,2.503213,2.503213
CBM_A_HWP_LLP,30.0,1.735582,1.735582,1.735582,3.316632,1.735582,1.735582,1.735582,1.735582
CBM_A_HWP_LLP,31.0,2.011203,2.011203,2.011203,3.843332,2.011203,2.011203,2.011203,2.011203
CBM_A_HWP_LLP,33.0,1.251152,1.251152,1.251152,2.390904,1.251152,1.251152,1.251152,1.251152
CBM_A_HWP_LLP,37.0,0.9601036,0.9601036,0.9601036,1.834721,0.9601036,0.9601036,0.9601036,0.9601036
CBM_A_HWP_LLP,38.0,1.643309,1.643309,1.643309,3.140301,1.643309,1.643309,1.643309,1.643309
CBM_A_HWP_LLP,39.0,1.43402,1.43402,1.43402,2.740358,1.43402,1.43402,1.43402,1.43402
CBM_A_HWP_LLP,40.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,41.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_A_HWP_LLP,43.0,0.9456983,0.9456983,0.9456983,1.807193,0.9456983,0.9456983,0.9456983,0.9456983
CBM_A_HWP_LLP,44.0,2.541767,2.541767,2.541767,4.857219,2.541767,2.541767,2.541767,2.541767
CBM_A_HWP_LLP,45.0,2.508091,2.508091,2.508091,4.792866,2.508091,2.508091,2.508091,2.508091
CBM_B_HWP_Base,1.0,1.547575,1.547575,1.547575,2.957356,1.547575,1.547575,1.547575,1.547575
CBM_B_HWP_Base,2.0,0.6119453,0.6119453,0.6119453,1.169404,0.6119453,0.6119453,0.6119453,0.6119453
CBM_B_HWP_Base,3.0,0.5337626,0.5337626,0.5337626,1.02,0.5337626,0.5337626,0.5337626,0.5337626
CBM_B_HWP_Base,4.0,0.7058753,0.7058753,0.7058753,1.348901,0.7058753,0.7058753,0.7058753,0.7058753
CBM_B_HWP_Base,5.0,2.500871,2.500871,2.500871,4.779068,2.500871,2.500871,2.500871,2.500871
CBM_B_HWP_Base,7.0,2.499681,2.499681,2.499681,4.776794,2.499681,2.499681,2.499681,2.499681
CBM_B_HWP_Base,8.0,2.435536,2.435536,2.435536,4.654215,2.435536,2.435536,2.435536,2.435536
CBM_B_HWP_Base,9.0,0.7560047,0.7560047,0.7560047,1.444696,0.7560047,0.7560047,0.7560047,0.7560047
CBM_B_HWP_Base,10.0,2.509375,2.509375,2.509375,4.795319,2.509375,2.509375,2.509375,2.509375
CBM_B_HWP_Base,11.0,1.267809,1.267809,1.267809,2.422734,1.267809,1.267809,1.267809,1.267809
